sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Dist. to Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Profile 1;Profile 2;Profile 3
54.003;7536;;60s;Yes;No;3;0.29693;1.00000;0.00000;0.67808;1.89378;Group13@1342807608;RandomCounterOfferNegotiationParty@661821333;RandomCounterOfferNegotiationParty@1413335918;1.0;0.2969260373579895;0.5968500104495003;party1_utility.xml;party2_utility.xml;party3_utility.xml
54.005;7700;;60s;Yes;No;3;0.29693;1.00000;0.00000;0.67808;1.89378;Group13@1918012190;RandomCounterOfferNegotiationParty@2092258699;RandomCounterOfferNegotiationParty@1694718115;1.0;0.2969260373579895;0.5968500104495003;party1_utility.xml;party2_utility.xml;party3_utility.xml
54.003;7404;;60s;Yes;No;3;0.58562;1.00000;0.00000;0.19642;2.24396;RandomCounterOfferNegotiationParty@277108002;Group13@1448141529;RandomCounterOfferNegotiationParty@1482506452;0.6583333333333333;1.0;0.5856226065195247;party1_utility.xml;party2_utility.xml;party3_utility.xml
54.002;8857;;60s;Yes;No;3;0.43241;1.00000;0.00000;0.64373;1.91991;RandomCounterOfferNegotiationParty@502376197;RandomCounterOfferNegotiationParty@899192054;Group13@1844808114;0.48749999999999993;0.43241457513409964;0.9999999999999999;party1_utility.xml;party2_utility.xml;party3_utility.xml
54.011;8794;;60s;Yes;No;3;0.43241;1.00000;0.00000;0.64373;1.91991;RandomCounterOfferNegotiationParty@870602198;RandomCounterOfferNegotiationParty@1405054775;Group13@1961559571;0.48749999999999993;0.43241457513409964;0.9999999999999999;party1_utility.xml;party2_utility.xml;party3_utility.xml
54.003;7356;;60s;Yes;No;3;0.58562;1.00000;0.00000;0.19642;2.24396;RandomCounterOfferNegotiationParty@1044693705;Group13@1326816355;RandomCounterOfferNegotiationParty@332288037;0.6583333333333333;1.0;0.5856226065195247;party1_utility.xml;party2_utility.xml;party3_utility.xml
54.017;7655;;60s;Yes;No;3;0.29693;1.00000;0.00000;0.67808;1.89378;Group13@729024730;RandomCounterOfferNegotiationParty@1324430975;RandomCounterOfferNegotiationParty@1043395670;1.0;0.2969260373579895;0.5968500104495003;party1_utility.xml;party2_utility.xml;party3_utility.xml
54.004;7826;;60s;Yes;No;3;0.29693;1.00000;0.00000;0.67808;1.89378;Group13@665442713;RandomCounterOfferNegotiationParty@843815;RandomCounterOfferNegotiationParty@1297096823;1.0;0.2969260373579895;0.5968500104495003;party1_utility.xml;party2_utility.xml;party3_utility.xml
54.003;7170;;60s;Yes;No;3;0.58562;1.00000;0.00000;0.19642;2.24396;RandomCounterOfferNegotiationParty@789742447;Group13@228546437;RandomCounterOfferNegotiationParty@1479205823;0.6583333333333333;1.0;0.5856226065195247;party1_utility.xml;party2_utility.xml;party3_utility.xml
54.007;8675;;60s;Yes;No;3;0.43241;1.00000;0.00000;0.64373;1.91991;RandomCounterOfferNegotiationParty@1470288629;RandomCounterOfferNegotiationParty@409543063;Group13@1633070441;0.48749999999999993;0.43241457513409964;0.9999999999999999;party1_utility.xml;party2_utility.xml;party3_utility.xml
