sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Dist. to Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Utility 1;Utility 2;Utility 3;Utility 4;Profile 1;Profile 2;Profile 3;Profile 4
144.573;3937;;180s;Yes;No;4;0.69718;0.88748;0.00000;0.31118;3.14979;ParsAgent@420089169;Mercury@983837745;Atlas3@199461304;Group13_first@1104630711;0.7913152385223009;0.7738088000000001;0.6971826385926146;0.8874786427110964;party3_utility.xml;party4_utility.xml;party_util1.xml;party_util2.xml
155.232;4219;;180s;Yes;No;4;0.57143;0.89925;0.00000;0.36330;3.09912;ParsAgent@645404622;Mercury@756931357;Group13_first@1748216297;Atlas3@400045425;0.7679992387023479;0.57142805;0.8604385241069362;0.8992525198536567;party3_utility.xml;party4_utility.xml;party_util1.xml;party_util2.xml
179.860;4532;;180s;Yes;No;4;0.75093;0.98317;0.00000;0.00000;3.45047;ParsAgent@1831652442;Group13_first@794716703;Mercury@1602826628;Atlas3@1853160388;0.9831676599530632;0.8214277999999999;0.8949523685189631;0.7509253430395897;party3_utility.xml;party4_utility.xml;party_util1.xml;party_util2.xml
133.341;3386;;180s;Yes;No;4;0.73175;0.86905;0.00000;0.21689;3.21810;Group13_first@282795514;ParsAgent@562892987;Mercury@530250950;Atlas3@514474344;0.8495472649801583;0.8690468499999999;0.7317515894172824;0.7677503070437928;party3_utility.xml;party4_utility.xml;party_util1.xml;party_util2.xml
114.494;2054;;180s;Yes;No;4;0.72738;0.95238;0.00000;0.17256;3.41026;Group13_first@1123324268;ParsAgent@1182231499;Atlas3@1806985725;Mercury@266893737;0.9336368949374793;0.95238005;0.7968694070876604;0.7273775887544691;party3_utility.xml;party4_utility.xml;party_util1.xml;party_util2.xml
98.889;2273;;180s;Yes;No;4;0.75093;0.98317;0.00000;0.00000;3.45047;ParsAgent@444861030;Group13_first@339036537;Atlas3@912961868;Mercury@594881956;0.9831676599530632;0.8214277999999999;0.8949523685189631;0.7509253430395897;party3_utility.xml;party4_utility.xml;party_util1.xml;party_util2.xml
135.485;2704;;180s;Yes;No;4;0.72738;0.90935;0.00000;0.13097;3.32542;ParsAgent@1637083688;Atlas3@1864629049;Group13_first@144659699;Mercury@344072689;0.9093546399923003;0.88095155;0.8077315611014969;0.7273775887544691;party3_utility.xml;party4_utility.xml;party_util1.xml;party_util2.xml
180.000;3702;;180s;No;No;1;0.00000;0.50000;1.30936;1.73384;0.00000;ParsAgent@1201702803;Atlas3@2046692467;Mercury@1475024138;Group13_first@895984805;0.0;0.0;0.48;0.5;party3_utility.xml;party4_utility.xml;party_util1.xml;party_util2.xml
180.000;3752;;180s;No;No;1;0.00000;0.50000;1.30936;1.73384;0.00000;Atlas3@440449017;ParsAgent@727549123;Mercury@1067576096;Group13_first@1340489778;0.0;0.0;0.48;0.5;party3_utility.xml;party4_utility.xml;party_util1.xml;party_util2.xml
60.647;1028;;180s;No;No;0;0.00000;0.50000;1.30936;1.73384;0.00000;Atlas3@1275804868;ParsAgent@1192607700;Group13_first@882138025;Mercury@2014170934;0.0;0.0;0.48;0.5;party3_utility.xml;party4_utility.xml;party_util1.xml;party_util2.xml
60.497;1073;;180s;No;No;0;0.00000;0.50000;1.30936;1.73384;0.00000;Atlas3@842429036;Group13_first@671686459;ParsAgent@1860267781;Mercury@306178594;0.0;0.0;0.48;0.5;party3_utility.xml;party4_utility.xml;party_util1.xml;party_util2.xml
148.487;3052;;180s;Yes;No;4;0.72331;1.00000;0.00000;0.19702;3.20042;Group13_first@777933658;Atlas3@850547070;ParsAgent@613636170;Mercury@694711290;0.9999999999999999;0.7261898;0.7233071860141834;0.7509253430395897;party3_utility.xml;party4_utility.xml;party_util1.xml;party_util2.xml
180.000;4176;;180s;No;No;1;0.00000;0.50000;1.30936;1.73384;0.00000;Group13_first@1992414303;Atlas3@782344522;Mercury@1601507970;ParsAgent@405845622;0.0;0.0;0.48;0.5;party3_utility.xml;party4_utility.xml;party_util1.xml;party_util2.xml
146.943;4064;;180s;Yes;No;4;0.65015;0.93863;0.00000;0.25052;3.20177;Atlas3@1547320787;Group13_first@1018296198;Mercury@1207016843;ParsAgent@798494483;0.9386275282954283;0.845237325;0.6501511998664421;0.7677503070437928;party3_utility.xml;party4_utility.xml;party_util1.xml;party_util2.xml
